Retailer,Retailer ID,Date,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue,Expenses,Date
Sodapop,1185732,04 November 2022,Northeast,New York,Coca-Cola,$0.50,"12,000","$6,000","$1,440",04 November 2022
Sodapop,1185732,04 November 2022,Northeast,New York,Diet Coke,$0.50,"9,000","$4,500",$855,04 November 2022
Sodapop,1185732,04 November 2022,Northeast,New York,Sprite,$0.40,"9,000","$3,600","$1,656",04 November 2022
Sodapop,1185732,04 November 2022,Northeast,New York,Fanta,$0.45,"8,250","$3,713",$483,04 November 2022
Sodapop,1185732,04 November 2022,Northeast,New York,Powerade,$0.60,"8,250","$4,950","$1,040",04 November 2022
Sodapop,1185732,04 November 2022,Northeast,New York,Dasani Water,$0.50,"9,500","$4,750","$1,948",04 November 2022
Sodapop,1185732,05 October 2022,Northeast,New York,Coca-Cola,$0.60,"12,200","$7,320","$1,318",05 October 2022
Sodapop,1185732,05 October 2022,Northeast,New York,Diet Coke,$0.55,"9,250","$5,088",$407,05 October 2022
Sodapop,1185732,05 October 2022,Northeast,New York,Sprite,$0.50,"9,000","$4,500","$1,710",05 October 2022
Sodapop,1185732,05 October 2022,Northeast,New York,Fanta,$0.50,"8,500","$4,250",$893,05 October 2022
Sodapop,1185732,05 October 2022,Northeast,New York,Powerade,$0.60,"8,750","$5,250","$1,785",05 October 2022
Sodapop,1185732,05 October 2022,Northeast,New York,Dasani Water,$0.65,"10,000","$6,500",$780,05 October 2022
Sodapop,1185732,06 December 2022,Northeast,New York,Coca-Cola,$0.60,"12,500","$7,500",$975,06 December 2022
Sodapop,1185732,06 December 2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500",$935,06 December 2022
Sodapop,1185732,06 December 2022,Northeast,New York,Sprite,$0.50,"9,250","$4,625",$971,06 December 2022
Sodapop,1185732,06 December 2022,Northeast,New York,Fanta,$0.50,"9,000","$4,500",$630,06 December 2022
Sodapop,1185732,06 December 2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$270,06 December 2022
Sodapop,1185732,06 December 2022,Northeast,New York,Dasani Water,$0.65,"10,500","$6,825",$546,06 December 2022
Sodapop,1185732,07 October 2022,Northeast,New York,Coca-Cola,$0.60,"12,750","$7,650",$842,07 October 2022
Sodapop,1185732,07 October 2022,Northeast,New York,Diet Coke,$0.55,"10,250","$5,638",$846,07 October 2022
Sodapop,1185732,07 October 2022,Northeast,New York,Sprite,$0.50,"9,500","$4,750","$1,615",07 October 2022
Sodapop,1185732,07 October 2022,Northeast,New York,Fanta,$0.50,"9,000","$4,500","$1,530",07 October 2022
Sodapop,1185732,07 October 2022,Northeast,New York,Powerade,$0.60,"9,250","$5,550","$1,887",07 October 2022
Sodapop,1185732,07 October 2022,Northeast,New York,Dasani Water,$0.65,"11,000","$7,150","$3,504",07 October 2022
Sodapop,1185732,08 November 2022,Northeast,New York,Coca-Cola,$0.60,"12,500","$7,500","$1,050",08 November 2022
Sodapop,1185732,08 November 2022,Northeast,New York,Diet Coke,$0.55,"10,250","$5,638",$789,08 November 2022
Sodapop,1185732,08 November 2022,Northeast,New York,Sprite,$0.50,"9,500","$4,750",$713,08 November 2022
Sodapop,1185732,08 November 2022,Northeast,New York,Fanta,$0.50,"9,250","$4,625","$1,110",08 November 2022
Sodapop,1185732,08 November 2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400","$1,026",08 November 2022
Sodapop,1185732,08 November 2022,Northeast,New York,Dasani Water,$0.65,"10,750","$6,988","$3,214",08 November 2022
Sodapop,1185732,09 October 2022,Northeast,New York,Coca-Cola,$0.60,"12,000","$7,200",$936,09 October 2022
Sodapop,1185732,09 October 2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500","$1,155",09 October 2022
Sodapop,1185732,09 October 2022,Northeast,New York,Sprite,$0.50,"9,250","$4,625","$1,896",09 October 2022
Sodapop,1185732,09 October 2022,Northeast,New York,Fanta,$0.50,"9,000","$4,500",$810,09 October 2022
Sodapop,1185732,09 October 2022,Northeast,New York,Powerade,$0.60,"9,000","$5,400",$432,09 October 2022
Sodapop,1185732,09 October 2022,Northeast,New York,Dasani Water,$0.65,"10,000","$6,500","$1,365",09 October 2022
Sodapop,1185732,10 December 2022,Northeast,New York,Coca-Cola,$0.65,"11,750","$7,638","$2,597",10 December 2022
Sodapop,1185732,10 December 2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500",$660,10 December 2022
Sodapop,1185732,10 December 2022,Northeast,New York,Sprite,$0.55,"9,000","$4,950",$644,10 December 2022
Sodapop,1185732,10 December 2022,Northeast,New York,Fanta,$0.55,"8,750","$4,813",$818,10 December 2022
Sodapop,1185732,10 December 2022,Northeast,New York,Powerade,$0.65,"8,750","$5,688","$1,194",10 December 2022
Sodapop,1185732,10 December 2022,Northeast,New York,Dasani Water,$0.70,"10,000","$7,000",$980,10 December 2022
Sodapop,1185732,11 November 2022,Northeast,New York,Coca-Cola,$0.65,"11,500","$7,475",$374,11 November 2022
Sodapop,1185732,11 November 2022,Northeast,New York,Diet Coke,$0.55,"9,750","$5,363",$429,11 November 2022
Sodapop,1185732,11 November 2022,Northeast,New York,Sprite,$0.55,"9,200","$5,060",$557,11 November 2022
Sodapop,1185732,11 November 2022,Northeast,New York,Fanta,$0.55,"9,000","$4,950",$743,11 November 2022
Sodapop,1185732,11 November 2022,Northeast,New York,Powerade,$0.65,"8,750","$5,688","$1,934",11 November 2022
Sodapop,1185732,11 November 2022,Northeast,New York,Dasani Water,$0.70,"9,750","$6,825","$2,321",11 November 2022
Sodapop,1185732,12 October 2022,Northeast,New York,Coca-Cola,$0.65,"12,000","$7,800","$2,652",12 October 2022
Sodapop,1185732,12 October 2022,Northeast,New York,Diet Coke,$0.55,"10,000","$5,500","$2,695",12 October 2022
Sodapop,1185732,12 October 2022,Northeast,New York,Sprite,$0.55,"9,500","$5,225",$732,12 October 2022
Sodapop,1185732,12 October 2022,Northeast,New York,Fanta,$0.55,"9,000","$4,950",$693,12 October 2022
Sodapop,1185732,12 October 2022,Northeast,New York,Powerade,$0.65,"9,000","$5,850",$878,12 October 2022
Sodapop,1185732,12 October 2022,Northeast,New York,Dasani Water,$0.70,"10,000","$7,000","$1,680",12 October 2022
BevCo,1197831,01 February 2022,South,Texas,Coca-Cola,$0.25,"9,000","$2,250",$428,01 February 2022
BevCo,1197831,01 February 2022,South,Texas,Diet Coke,$0.35,"9,000","$3,150","$1,449",01 February 2022
BevCo,1197831,01 February 2022,South,Texas,Sprite,$0.35,"7,000","$2,450",$319,01 February 2022
BevCo,1197831,01 February 2022,South,Texas,Fanta,$0.35,"7,000","$2,450",$515,01 February 2022
BevCo,1197831,01 February 2022,South,Texas,Powerade,$0.40,"5,500","$2,200",$902,01 February 2022
BevCo,1197831,01 February 2022,South,Texas,Dasani Water,$0.35,"7,000","$2,450",$441,01 February 2022
BevCo,1197831,02 January 2022,South,Texas,Coca-Cola,$0.25,"8,500","$2,125",$170,02 January 2022
BevCo,1197831,02 January 2022,South,Texas,Diet Coke,$0.35,"8,500","$2,975",$625,02 January 2022
BevCo,1197831,02 January 2022,South,Texas,Sprite,$0.35,"6,750","$2,363",$803,02 January 2022
BevCo,1197831,02 January 2022,South,Texas,Fanta,$0.35,"6,250","$2,188",$263,02 January 2022
BevCo,1197831,02 January 2022,South,Texas,Powerade,$0.40,"5,000","$2,000",$260,02 January 2022
BevCo,1197831,02 January 2022,South,Texas,Dasani Water,$0.35,"7,000","$2,450",$417,02 January 2022
BevCo,1197831,03 March 2022,South,Texas,Coca-Cola,$0.30,"8,750","$2,625",$551,03 March 2022
BevCo,1197831,03 March 2022,South,Texas,Diet Coke,$0.40,"8,750","$3,500",$490,03 March 2022
BevCo,1197831,03 March 2022,South,Texas,Sprite,$0.35,"7,000","$2,450",$123,03 March 2022
BevCo,1197831,03 March 2022,South,Texas,Fanta,$0.40,"6,000","$2,400",$192,03 March 2022
BevCo,1197831,03 March 2022,South,Texas,Powerade,$0.45,"5,000","$2,250",$248,03 March 2022
BevCo,1197831,03 March 2022,South,Texas,Dasani Water,$0.40,"6,500","$2,600",$390,03 March 2022
BevCo,1197831,04 February 2022,South,Texas,Coca-Cola,$0.30,"9,000","$2,700",$918,04 February 2022
BevCo,1197831,04 February 2022,South,Texas,Diet Coke,$0.40,"9,000","$3,600","$1,224",04 February 2022
BevCo,1197831,04 February 2022,South,Texas,Sprite,$0.35,"7,250","$2,538",$863,04 February 2022
BevCo,1197831,04 February 2022,South,Texas,Fanta,$0.40,"6,250","$2,500","$1,225",04 February 2022
BevCo,1197831,04 February 2022,South,Texas,Powerade,$0.45,"5,250","$2,363",$331,04 February 2022
BevCo,1197831,04 February 2022,South,Texas,Dasani Water,$0.40,"8,000","$3,200",$448,04 February 2022
BevCo,1197831,05 February 2022,South,Texas,Coca-Cola,$0.30,"9,250","$2,775",$416,05 February 2022
BevCo,1197831,05 February 2022,South,Texas,Diet Coke,$0.40,"9,250","$3,700",$888,05 February 2022
BevCo,1197831,05 February 2022,South,Texas,Sprite,$0.35,"7,750","$2,713",$515,05 February 2022
BevCo,1197831,05 February 2022,South,Texas,Fanta,$0.40,"7,000","$2,800","$1,288",05 February 2022
BevCo,1197831,05 February 2022,South,Texas,Powerade,$0.45,"6,000","$2,700",$351,05 February 2022
BevCo,1197831,05 February 2022,South,Texas,Dasani Water,$0.40,"9,500","$3,800",$798,05 February 2022
BevCo,1197831,06 January 2022,South,Texas,Coca-Cola,$0.40,"9,500","$3,800","$1,558",06 January 2022
BevCo,1197831,06 January 2022,South,Texas,Diet Coke,$0.45,"9,500","$4,275",$770,06 January 2022
BevCo,1197831,06 January 2022,South,Texas,Sprite,$0.40,"8,000","$3,200",$256,06 January 2022
BevCo,1197831,06 January 2022,South,Texas,Fanta,$0.40,"7,500","$3,000",$630,06 January 2022
BevCo,1197831,06 January 2022,South,Texas,Powerade,$0.45,"6,500","$2,925",$995,06 January 2022
BevCo,1197831,06 January 2022,South,Texas,Dasani Water,$0.50,"10,000","$5,000",$600,06 January 2022
BevCo,1197831,07 March 2022,South,Texas,Coca-Cola,$0.40,"9,500","$3,800",$494,07 March 2022
BevCo,1197831,07 March 2022,South,Texas,Diet Coke,$0.45,"9,500","$4,275",$727,07 March 2022
BevCo,1197831,07 March 2022,South,Texas,Sprite,$0.40,"11,000","$4,400",$924,07 March 2022
BevCo,1197831,07 March 2022,South,Texas,Fanta,$0.40,"7,000","$2,800",$392,07 March 2022
BevCo,1197831,07 March 2022,South,Texas,Powerade,$0.45,"7,000","$3,150",$158,07 March 2022
BevCo,1197831,07 March 2022,South,Texas,Dasani Water,$0.50,"9,750","$4,875",$390,07 March 2022
BevCo,1197831,08 May 2022,South,Texas,Coca-Cola,$0.40,"9,250","$3,700",$407,08 May 2022
BevCo,1197831,08 May 2022,South,Texas,Diet Coke,$0.45,"9,250","$4,163",$624,08 May 2022
BevCo,1197831,08 May 2022,South,Texas,Sprite,$0.40,"11,000","$4,400","$1,496",08 May 2022
BevCo,1197831,08 May 2022,South,Texas,Fanta,$0.40,"6,500","$2,600",$884,08 May 2022
BevCo,1197831,08 May 2022,South,Texas,Powerade,$0.45,"6,500","$2,925",$995,08 May 2022
BevCo,1197831,08 May 2022,South,Texas,Dasani Water,$0.50,"9,000","$4,500","$2,205",08 May 2022
BevCo,1197831,09 February 2022,South,Texas,Coca-Cola,$0.45,"8,500","$3,825",$536,09 February 2022
BevCo,1197831,09 February 2022,South,Texas,Diet Coke,$0.45,"8,500","$3,825",$536,09 February 2022
BevCo,1197831,09 February 2022,South,Texas,Sprite,$0.50,"9,000","$4,500",$675,09 February 2022
BevCo,1197831,09 February 2022,South,Texas,Fanta,$0.50,"6,250","$3,125",$750,09 February 2022
BevCo,1197831,09 February 2022,South,Texas,Powerade,$0.45,"6,250","$2,813",$534,09 February 2022
BevCo,1197831,09 February 2022,South,Texas,Dasani Water,$0.55,"8,500","$4,675","$2,151",09 February 2022
BevCo,1197831,10 January 2022,South,Texas,Coca-Cola,$0.45,"8,000","$3,600",$468,10 January 2022
BevCo,1197831,10 January 2022,South,Texas,Diet Coke,$0.45,"8,000","$3,600",$756,10 January 2022
BevCo,1197831,10 January 2022,South,Texas,Sprite,$0.50,"7,500","$3,750","$1,538",10 January 2022
BevCo,1197831,10 January 2022,South,Texas,Fanta,$0.50,"6,000","$3,000",$540,10 January 2022
BevCo,1197831,10 January 2022,South,Texas,Powerade,$0.45,"5,750","$2,588",$207,10 January 2022
BevCo,1197831,10 January 2022,South,Texas,Dasani Water,$0.55,"7,500","$4,125",$866,10 January 2022
BevCo,1197831,11 February 2022,South,Texas,Coca-Cola,$0.45,"9,000","$4,050","$1,377",11 February 2022
BevCo,1197831,11 February 2022,South,Texas,Diet Coke,$0.45,"9,000","$4,050",$486,11 February 2022
BevCo,1197831,11 February 2022,South,Texas,Sprite,$0.50,"8,250","$4,125",$536,11 February 2022
BevCo,1197831,11 February 2022,South,Texas,Fanta,$0.50,"6,750","$3,375",$574,11 February 2022
BevCo,1197831,11 February 2022,South,Texas,Powerade,$0.45,"6,500","$2,925",$614,11 February 2022
BevCo,1197831,11 February 2022,South,Texas,Dasani Water,$0.55,"8,500","$4,675",$655,11 February 2022
BevCo,1197831,12 January 2022,South,Texas,Coca-Cola,$0.45,"9,500","$4,275",$214,12 January 2022
BevCo,1197831,12 January 2022,South,Texas,Diet Coke,$0.45,"9,500","$4,275",$342,12 January 2022
BevCo,1197831,12 January 2022,South,Texas,Sprite,$0.50,"8,500","$4,250",$468,12 January 2022
BevCo,1197831,12 January 2022,South,Texas,Fanta,$0.50,"7,000","$3,500",$525,12 January 2022
BevCo,1197831,12 January 2022,South,Texas,Powerade,$0.45,"6,500","$2,925",$995,12 January 2022
BevCo,1197831,12 January 2022,South,Texas,Dasani Water,$0.55,"9,000","$4,950","$1,683",12 January 2022
FizzySip,1128299,20/1/2022,West,California,Coca-Cola,$0.40,"7,750","$3,100","$1,054",20/1/2022
FizzySip,1128299,20/1/2022,West,California,Diet Coke,$0.50,"7,750","$3,875","$1,899",20/1/2022
FizzySip,1128299,20/1/2022,West,California,Sprite,$0.50,"7,750","$3,875",$543,20/1/2022
FizzySip,1128299,20/1/2022,West,California,Fanta,$0.50,"6,250","$3,125",$438,20/1/2022
FizzySip,1128299,20/1/2022,West,California,Powerade,$0.55,"5,750","$3,163",$474,20/1/2022
FizzySip,1128299,20/1/2022,West,California,Dasani Water,$0.50,"7,750","$3,875",$930,20/1/2022
FizzySip,1128299,20/2/2022,West,California,Coca-Cola,$0.40,"8,250","$3,300",$627,20/2/2022
FizzySip,1128299,20/2/2022,West,California,Diet Coke,$0.50,"7,250","$3,625","$1,668",20/2/2022
FizzySip,1128299,20/2/2022,West,California,Sprite,$0.50,"7,250","$3,625",$471,20/2/2022
FizzySip,1128299,20/2/2022,West,California,Fanta,$0.50,"5,750","$2,875",$604,20/2/2022
FizzySip,1128299,20/2/2022,West,California,Powerade,$0.55,"5,000","$2,750","$1,128",20/2/2022
FizzySip,1128299,20/2/2022,West,California,Dasani Water,$0.50,"7,000","$3,500",$630,20/2/2022
FizzySip,1128299,19/3/2022,West,California,Coca-Cola,$0.50,"8,500","$4,250",$340,19/3/2022
FizzySip,1128299,19/3/2022,West,California,Diet Coke,$0.60,"7,000","$4,200","$1,596",19/3/2022
FizzySip,1128299,19/3/2022,West,California,Sprite,$0.60,"7,000","$4,200",$882,19/3/2022
FizzySip,1128299,19/3/2022,West,California,Fanta,$0.60,"6,000","$3,600","$1,224",19/3/2022
FizzySip,1128299,19/3/2022,West,California,Powerade,$0.65,"5,000","$3,250",$390,19/3/2022
FizzySip,1128299,19/3/2022,West,California,Dasani Water,$0.60,"7,000","$4,200",$546,19/3/2022
FizzySip,1128299,20/4/2022,West,California,Coca-Cola,$0.60,"8,750","$5,250",$893,20/4/2022
FizzySip,1128299,20/4/2022,West,California,Diet Coke,$0.65,"6,750","$4,388",$921,20/4/2022
FizzySip,1128299,20/4/2022,West,California,Sprite,$0.65,"7,250","$4,713",$660,20/4/2022
FizzySip,1128299,20/4/2022,West,California,Fanta,$0.60,"6,250","$3,750",$188,20/4/2022
FizzySip,1128299,20/4/2022,West,California,Powerade,$0.65,"5,250","$3,413",$273,20/4/2022
FizzySip,1128299,20/4/2022,West,California,Dasani Water,$0.80,"7,000","$5,600",$616,20/4/2022
FizzySip,1128299,21/5/2022,West,California,Coca-Cola,$0.60,"9,000","$5,400",$810,21/5/2022
FizzySip,1128299,21/5/2022,West,California,Diet Coke,$0.65,"7,500","$4,875","$1,658",21/5/2022
FizzySip,1128299,21/5/2022,West,California,Sprite,$0.65,"7,500","$4,875","$1,658",21/5/2022
FizzySip,1128299,21/5/2022,West,California,Fanta,$0.60,"6,500","$3,900","$1,326",21/5/2022
FizzySip,1128299,21/5/2022,West,California,Powerade,$0.65,"5,500","$3,575","$1,752",21/5/2022
FizzySip,1128299,21/5/2022,West,California,Dasani Water,$0.80,"7,250","$5,800",$812,21/5/2022
FizzySip,1128299,20/6/2022,West,California,Coca-Cola,$0.60,"9,750","$5,850",$819,20/6/2022
FizzySip,1128299,20/6/2022,West,California,Diet Coke,$0.65,"8,250","$5,363",$804,20/6/2022
FizzySip,1128299,20/6/2022,West,California,Sprite,$0.65,"8,250","$5,363","$1,287",20/6/2022
FizzySip,1128299,20/6/2022,West,California,Fanta,$0.60,"7,000","$4,200",$798,20/6/2022
FizzySip,1128299,20/6/2022,West,California,Powerade,$0.65,"5,750","$3,738","$1,719",20/6/2022
FizzySip,1128299,20/6/2022,West,California,Dasani Water,$0.80,"8,750","$7,000",$910,20/6/2022
FizzySip,1128299,19/7/2022,West,California,Coca-Cola,$0.60,"10,250","$6,150","$1,292",19/7/2022
FizzySip,1128299,19/7/2022,West,California,Diet Coke,$0.65,"8,750","$5,688","$2,332",19/7/2022
FizzySip,1128299,19/7/2022,West,California,Sprite,$0.65,"8,250","$5,363",$965,19/7/2022
FizzySip,1128299,19/7/2022,West,California,Fanta,$0.60,"7,250","$4,350",$348,19/7/2022
FizzySip,1128299,19/7/2022,West,California,Powerade,$0.65,"7,750","$5,038","$1,914",19/7/2022
FizzySip,1128299,19/7/2022,West,California,Dasani Water,$0.80,"7,750","$6,200","$1,302",19/7/2022
FizzySip,1128299,20/8/2022,West,California,Coca-Cola,$0.65,"9,750","$6,338","$2,155",20/8/2022
FizzySip,1128299,20/8/2022,West,California,Diet Coke,$0.70,"9,250","$6,475",$777,20/8/2022
FizzySip,1128299,20/8/2022,West,California,Sprite,$0.65,"8,000","$5,200",$676,20/8/2022
FizzySip,1128299,20/8/2022,West,California,Fanta,$0.65,"7,500","$4,875",$829,20/8/2022
FizzySip,1128299,20/8/2022,West,California,Powerade,$0.75,"7,500","$5,625","$1,181",20/8/2022
FizzySip,1128299,20/8/2022,West,California,Dasani Water,$0.80,"7,250","$5,800",$812,20/8/2022
FizzySip,1128299,21/9/2022,West,California,Coca-Cola,$0.55,"9,250","$5,088",$254,21/9/2022
FizzySip,1128299,21/9/2022,West,California,Diet Coke,$0.60,"9,250","$5,550",$444,21/9/2022
FizzySip,1128299,21/9/2022,West,California,Sprite,$0.55,"7,750","$4,263",$469,21/9/2022
FizzySip,1128299,21/9/2022,West,California,Fanta,$0.55,"7,250","$3,988",$598,21/9/2022
FizzySip,1128299,21/9/2022,West,California,Powerade,$0.65,"7,250","$4,713","$1,602",21/9/2022
FizzySip,1128299,21/9/2022,West,California,Dasani Water,$0.70,"7,750","$5,425","$1,845",21/9/2022
FizzySip,1128299,20/10/2022,West,California,Coca-Cola,$0.55,"8,750","$4,813","$1,636",20/10/2022
FizzySip,1128299,20/10/2022,West,California,Diet Coke,$0.60,"8,750","$5,250","$2,573",20/10/2022
FizzySip,1128299,20/10/2022,West,California,Sprite,$0.55,"7,000","$3,850",$539,20/10/2022
FizzySip,1128299,20/10/2022,West,California,Fanta,$0.55,"6,750","$3,713",$520,20/10/2022
FizzySip,1128299,20/10/2022,West,California,Powerade,$0.65,"6,500","$4,225",$634,20/10/2022
FizzySip,1128299,20/10/2022,West,California,Dasani Water,$0.70,"7,000","$4,900","$1,176",20/10/2022
FizzySip,1128299,20/11/2022,West,California,Coca-Cola,$0.55,"8,750","$4,813",$914,20/11/2022
FizzySip,1128299,20/11/2022,West,California,Diet Coke,$0.60,"8,750","$5,250","$2,415",20/11/2022
FizzySip,1128299,20/11/2022,West,California,Sprite,$0.55,"7,250","$3,988",$518,20/11/2022
FizzySip,1128299,20/11/2022,West,California,Fanta,$0.55,"7,000","$3,850",$809,20/11/2022
FizzySip,1128299,20/11/2022,West,California,Powerade,$0.65,"6,500","$4,225","$1,732",20/11/2022
FizzySip,1128299,20/11/2022,West,California,Dasani Water,$0.70,"7,750","$5,425",$977,20/11/2022
FizzySip,1128299,19/12/2022,West,California,Coca-Cola,$0.55,"9,750","$5,363",$429,19/12/2022
FizzySip,1128299,19/12/2022,West,California,Diet Coke,$0.60,"9,750","$5,850","$1,229",19/12/2022
FizzySip,1128299,19/12/2022,West,California,Sprite,$0.55,"7,750","$4,263","$1,449",19/12/2022
FizzySip,1128299,19/12/2022,West,California,Fanta,$0.55,"7,750","$4,263",$512,19/12/2022
FizzySip,1128299,19/12/2022,West,California,Powerade,$0.65,"7,000","$4,550",$592,19/12/2022
FizzySip,1128299,19/12/2022,West,California,Dasani Water,$0.70,"8,000","$5,600",$952,19/12/2022
DreamCo,1189833,15/1/2022,West,California,Coca-Cola,$0.35,"7,000","$2,450",$515,15/1/2022
DreamCo,1189833,15/1/2022,West,California,Diet Coke,$0.45,"7,000","$3,150",$441,15/1/2022
DreamCo,1189833,15/1/2022,West,California,Sprite,$0.45,"7,000","$3,150",$158,15/1/2022
DreamCo,1189833,15/1/2022,West,California,Fanta,$0.45,"5,500","$2,475",$198,15/1/2022
DreamCo,1189833,15/1/2022,West,California,Powerade,$0.50,"5,000","$2,500",$275,15/1/2022
DreamCo,1189833,15/1/2022,West,California,Dasani Water,$0.45,"7,000","$3,150",$473,15/1/2022
DreamCo,1189833,15/2/2022,West,California,Coca-Cola,$0.35,"7,500","$2,625",$893,15/2/2022
DreamCo,1189833,15/2/2022,West,California,Diet Coke,$0.45,"6,500","$2,925",$995,15/2/2022
DreamCo,1189833,15/2/2022,West,California,Sprite,$0.45,"6,750","$3,038","$1,033",15/2/2022
DreamCo,1189833,15/2/2022,West,California,Fanta,$0.45,"5,250","$2,363","$1,158",15/2/2022
DreamCo,1189833,15/2/2022,West,California,Powerade,$0.50,"4,500","$2,250",$315,15/2/2022
DreamCo,1189833,15/2/2022,West,California,Dasani Water,$0.45,"6,500","$2,925",$410,15/2/2022
DreamCo,1189833,14/3/2022,West,California,Coca-Cola,$0.35,"8,000","$2,800",$420,14/3/2022
DreamCo,1189833,14/3/2022,West,California,Diet Coke,$0.45,"6,500","$2,925",$702,14/3/2022
DreamCo,1189833,14/3/2022,West,California,Sprite,$0.45,"6,500","$2,925",$556,14/3/2022
DreamCo,1189833,14/3/2022,West,California,Fanta,$0.45,"5,500","$2,475","$1,139",14/3/2022
DreamCo,1189833,14/3/2022,West,California,Powerade,$0.50,"4,250","$2,125",$276,14/3/2022
DreamCo,1189833,14/3/2022,West,California,Dasani Water,$0.45,"6,250","$2,813",$591,14/3/2022
DreamCo,1189833,15/4/2022,West,California,Coca-Cola,$0.45,"8,000","$3,600","$1,476",15/4/2022
DreamCo,1189833,15/4/2022,West,California,Diet Coke,$0.50,"6,000","$3,000",$540,15/4/2022
DreamCo,1189833,15/4/2022,West,California,Sprite,$0.50,"6,250","$3,125",$250,15/4/2022
DreamCo,1189833,15/4/2022,West,California,Fanta,$0.45,"5,250","$2,363",$496,15/4/2022
DreamCo,1189833,15/4/2022,West,California,Powerade,$0.50,"4,250","$2,125",$723,15/4/2022
DreamCo,1189833,15/4/2022,West,California,Dasani Water,$0.65,"6,000","$3,900",$468,15/4/2022
DreamCo,1189833,16/5/2022,West,California,Coca-Cola,$0.45,"8,000","$3,600",$468,16/5/2022
DreamCo,1189833,16/5/2022,West,California,Diet Coke,$0.50,"6,500","$3,250",$553,16/5/2022
DreamCo,1189833,16/5/2022,West,California,Sprite,$0.50,"6,500","$3,250",$683,16/5/2022
DreamCo,1189833,16/5/2022,West,California,Fanta,$0.45,"5,500","$2,475",$347,16/5/2022
DreamCo,1189833,16/5/2022,West,California,Powerade,$0.50,"4,500","$2,250",$113,16/5/2022
DreamCo,1189833,16/5/2022,West,California,Dasani Water,$0.65,"6,250","$4,063",$325,16/5/2022
DreamCo,1189833,15/6/2022,West,California,Coca-Cola,$0.45,"9,000","$4,050",$446,15/6/2022
DreamCo,1189833,15/6/2022,West,California,Diet Coke,$0.50,"7,500","$3,750",$563,15/6/2022
DreamCo,1189833,15/6/2022,West,California,Sprite,$0.50,"7,500","$3,750","$1,275",15/6/2022
DreamCo,1189833,15/6/2022,West,California,Fanta,$0.45,"6,250","$2,813",$956,15/6/2022
DreamCo,1189833,15/6/2022,West,California,Powerade,$0.50,"5,000","$2,500",$850,15/6/2022
DreamCo,1189833,15/6/2022,West,California,Dasani Water,$0.65,"8,000","$5,200","$2,548",15/6/2022
DreamCo,1189833,14/7/2022,West,California,Coca-Cola,$0.45,"9,500","$4,275",$599,14/7/2022
DreamCo,1189833,14/7/2022,West,California,Diet Coke,$0.50,"8,000","$4,000",$560,14/7/2022
DreamCo,1189833,14/7/2022,West,California,Sprite,$0.50,"7,500","$3,750",$563,14/7/2022
DreamCo,1189833,14/7/2022,West,California,Fanta,$0.45,"6,500","$2,925",$702,14/7/2022
